PERMNO,date,BIDLO,ASKHI,PRC,VOL,RET,SHROUT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn,t90ret,cpiret
12490,19260130,140,147.5,143,191,-0.010381,193,-0.010381,0.000561,-0.001395,0.023174,0.021395,0.022472,0.004042,0
12490,19260227,139.5,150.625,139.5,297,-0.024476,193,-0.024476,-0.033046,-0.036587,-0.05351,-0.055547,-0.043956,0.003237,0
12490,19260331,38.125,-46.5,40.375,502,-0.115591,579,-0.13172,-0.064002,-0.070021,-0.096824,-0.101404,-0.059113,0.002778,-0.005587
12490,19260430,40,44.125,44,223,0.089783,579,0.089783,0.037019,0.034031,0.032946,0.030121,0.022688,0.003072,0.005618
12490,19260528,42.375,45.625,45.625,191,0.036932,579,0.036932,0.012095,0.008585,0.001035,-0.001752,0.007679,0.001965,-0.005587
12490,19260630,45.25,48.125,48,246,0.068493,579,0.052055,0.053664,0.046189,0.050487,0.044543,0.043184,0.003459,-0.005618
12490,19260731,47.125,50.125,48,275,0,579,0,0.031411,0.029225,0.013076,0.010841,0.045455,0.002243,-0.011299
12490,19260831,48,49.5,48,92,0,579,0,0.028647,0.025358,0.031002,0.028997,0.017081,0.002069,-0.005714
12490,19260930,48.125,52,50.375,323,0.065104,579,0.049479,0.005787,0.00003,-0.006499,-0.011239,0.022901,0.002273,0.005747
12490,19261030,47.625,52,52,499,0.032258,579,0.032258,-0.028996,-0.031069,-0.03463,-0.036784,-0.031343,0.003195,0.005714
12490,19261130,52,54.5,53.625,336,0.03125,579,0.03125,0.028554,0.022979,0.024776,0.022222,0.022342,0.004337,0.005682
12490,19261231,53.5,56.25,54.25,358,0.030303,579,0.011655,0.029211,0.021422,0.025516,0.019067,0.016579,0.002778,0
12490,19270131,53.125,57.25,55.5,208,0.023041,579,0.023041,0.002416,0.000053,0.012556,0.010122,-0.020756,0.001413,-0.011299
12490,19270228,56,60.75,60,476,0.081081,579,0.081081,0.045367,0.04117,0.055756,0.053376,0.047691,0.002524,-0.005714
12490,19270331,59,70,70,679,0.183333,579,0.166667,0.003756,-0.002242,-0.01929,-0.02418,0.006503,0.002959,-0.005747
12490,19270430,67,75.75,75.5,871,0.078571,579,0.078571,0.007225,0.005134,0.007494,0.005305,0.017229,0.002546,0
12490,19270531,76,88.75,86.75,568,0.149007,579,0.149007,0.057773,0.053623,0.062691,0.059557,0.052223,0.003667,0.00578
12490,19270630,-81.5,86.5,-81.5,296,-0.048991,579,-0.060519,-0.021087,-0.027406,-0.019708,-0.025178,-0.00939,0.002583,0.011494
12490,19270730,82,91.75,,419,,579,,0.075279,0.072869,0.05808,0.055686,0.064997,0.002991,-0.017045
12490,19270831,86.375,92.5,91.25,327,0.119632,579,0.119632,0.02249,0.018438,0.004247,0.002092,0.044501,0.002963,-0.00578
12490,19270930,88.375,93.625,92,261,0.019178,579,0.008219,0.049924,0.045003,0.032308,0.027563,0.043214,0.002096,0.005814
12490,19271031,89.625,93,91.25,298,-0.008152,579,-0.008152,-0.04077,-0.042594,-0.038529,-0.040343,-0.053092,0.00252,0.00578
12490,19271130,90,100.875,99.5,652,0.090411,579,0.090411,0.068453,0.063299,0.097758,0.095375,0.067776,0.001997,-0.005747
12490,19271231,98,120,120,633,0.218593,579,0.20603,0.023782,0.018206,0.029677,0.024485,0.019042,0.00223,0
12490,19280131,114,125,125,507,0.041667,579,0.041667,-0.00334,-0.005101,0.032441,0.030642,-0.005096,0.002225,0
12490,19280229,122.5,141,128.5,845,0.028,579,0.028,-0.014478,-0.018119,-0.022508,-0.024489,-0.017644,0.002774,-0.011561
12490,19280331,125.75,132.75,127.875,394,0.004864,579,-0.004864,0.090478,0.085582,0.071583,0.067601,0.108343,0.002936,0
12490,19280430,126,131.875,127,180,-0.006843,579,-0.006843,0.043846,0.042082,0.087466,0.085762,0.03241,0.002224,0
12490,19280531,122.5,131,125,339,-0.015748,579,-0.015748,0.01769,0.01395,0.037591,0.035411,0.012658,0.001536,0.005848
12490,19280630,116,126.75,-123.25,252,-0.004,579,-0.014,-0.045245,-0.050289,-0.069074,-0.072892,-0.0405,0.003122,-0.005814
12490,19280731,118.875,124.5,-122,85,-0.010142,579,-0.010142,0.0094,0.007626,0.003047,0.00109,0.012507,0.003226,0
12490,19280831,120,130.75,130.75,262,0.071721,579,0.071721,0.070206,0.066186,0.058396,0.056325,0.074112,0.003849,0
12490,19280929,128.25,139.875,139.75,390,0.078394,579,0.068834,0.031498,0.02804,0.049244,0.04611,0.023958,0.002723,0.011696
12490,19281031,137,149.75,144.75,505,0.035778,579,0.035778,0.019228,0.01765,0.017469,0.015759,0.014506,0.004378,-0.00578
12490,19281130,142.25,166,160,692,0.105354,579,0.105354,0.1215,0.116383,0.115203,0.112897,0.119926,0.011137,0
12490,19281231,147.25,-158,156,284,0.031953,608,0.02375,0.005557,0.001348,-0.005552,-0.009705,0.002883,0.003451,-0.005814
12490,19290131,149.375,155.75,152.875,262,-0.020032,608,-0.020032,0.053935,0.052346,0.033526,0.030825,0.057084,0.002734,0
12490,19290228,151.875,162,161,404,0.053148,608,0.053148,-0.000446,-0.003386,0.006487,0.004749,-0.005828,0.004224,0
12490,19290328,154.875,165.875,160,203,0.001553,608,-0.006211,-0.007808,-0.011795,-0.032105,-0.03549,-0.002345,0.003431,-0.005848
12490,19290430,156,179.875,179.875,343,0.124219,608,0.124219,0.017179,0.015795,0.014024,0.012074,0.01606,0.003567,-0.005882
12490,19290531,175,-192.5,177.75,272,-0.011814,608,-0.011814,-0.059923,-0.06397,-0.091046,-0.093123,-0.042791,0.003884,0.005917
12490,19290629,180,210,210,234,0.188467,608,0.181435,0.101573,0.098075,0.073428,0.069791,0.112364,0.005193,0.005882
12490,19290731,219,246.375,233,181,0.109524,608,0.109524,0.045958,0.044149,0.018561,0.016317,0.045619,0.003345,0.011696
12490,19290830,226.5,243.75,241,125,0.034335,608,0.034335,0.085343,0.081953,0.028368,0.026536,0.097992,0.00472,0
12490,19290930,228.125,241.75,228.125,119,-0.048237,608,-0.053423,-0.050455,-0.053236,-0.04373,-0.047047,-0.04888,0.003573,0
12490,19291031,175,253.75,185,316,-0.189041,608,-0.189041,-0.196684,-0.198513,-0.212145,-0.214257,-0.199271,0.004796,0
12490,19291127,112.5,172,143.75,303,-0.222973,608,-0.222973,-0.123812,-0.127992,-0.122533,-0.124738,-0.133747,0.005018,0
12490,19291231,141,168.75,162,164,0.194261,638,0.183304,0.01639,0.010773,-0.025598,-0.032559,0.025335,0.003661,-0.00578
12490,19300131,152.5,166,163.75,42,0.010802,638,0.010802,0.058407,0.055806,0.109826,0.106711,0.062471,0.000088,-0.005814
12490,19300228,163,176.75,174.875,156,0.067939,638,0.067939,0.028242,0.024348,0.033599,0.031386,0.021501,0.004951,-0.005848
12490,19300331,174.75,190.5,182,167,0.049321,638,0.040743,0.074631,0.070571,0.103754,0.099161,0.079897,0.003475,-0.005882
12490,19300430,181,190,181.25,141,-0.004121,638,-0.004121,-0.020541,-0.02246,-0.0416,-0.044109,-0.009547,0.002104,0.005917
12490,19300529,170,195.75,195,215,0.075862,638,0.075862,-0.01401,-0.017611,-0.037227,-0.0395,-0.016466,0.005098,-0.005882
12490,19300630,155.5,193,173,301,-0.105128,638,-0.112821,-0.15998,-0.164259,-0.188159,-0.192911,-0.164557,0.002693,-0.005917
12490,19300731,168,183.75,173,137,0,638,0,0.041964,0.039529,0.037631,0.034183,0.036657,0.001984,-0.011905
12490,19300829,167.25,180.5,180,141,0.040462,638,0.040462,0.003663,-0.000581,-0.017319,-0.019815,0.007544,0.001312,-0.006024
12490,19300930,158.25,-184,158.25,206,-0.1125,638,-0.120833,-0.124805,-0.129438,-0.150475,-0.155131,-0.130089,0.002192,0.006061
12490,19301031,131,165,142.75,358,-0.097946,638,-0.097946,-0.086579,-0.089129,-0.096057,-0.098855,-0.088757,0.000866,-0.006024
12490,19301129,137.5,149,146,251,0.022767,638,0.022767,-0.028057,-0.031917,-0.024128,-0.026629,-0.021842,0.000999,-0.006061
12490,19301231,140.25,153,150,216,0.089555,638,0.078767,-0.077739,-0.084436,-0.136846,-0.143334,-0.074231,0.001398,-0.018293
12490,19310131,145.5,158.75,-153.75,82,0.025,638,0.025,0.063792,0.06107,0.141828,0.138181,0.048892,0.002737,-0.012422
12490,19310228,156.25,179.5,173,178,0.125203,638,0.125203,0.109695,0.10477,0.156753,0.15439,0.114357,0.000407,-0.012579
12490,19310331,162,173.75,-163,93,-0.049133,638,-0.057803,-0.062866,-0.067999,-0.061871,-0.066748,-0.069158,0.000755,-0.006369
12490,19310430,152,169,159.25,169,-0.023006,638,-0.023006,-0.100219,-0.102367,-0.15087,-0.153277,-0.095866,0.001123,-0.00641
12490,19310529,125.5,163,125.5,298,-0.211931,638,-0.211931,-0.133836,-0.138385,-0.140379,-0.142603,-0.137177,0.000687,-0.012903
12490,19310630,117,152.25,148,278,0.191235,638,0.179283,0.14034,0.133177,0.18217,0.176393,0.139017,0.00089,-0.013072
12490,19310731,134.5,149.75,134.5,118,-0.091216,638,-0.091216,-0.066438,-0.069027,-0.070214,-0.072811,-0.074174,0.000324,0
12490,19310831,136,150,144,81,0.070632,638,0.070632,0.003078,-0.001547,-0.018724,-0.020714,0.009468,0.00031,0
12490,19310930,109.5,-144.25,109.5,292,-0.229167,638,-0.239583,-0.291731,-0.296941,-0.312753,-0.317049,-0.299423,-0.001059,-0.006623
12490,19311031,92.875,125.5,122,375,0.114155,638,0.114155,0.081509,0.078213,0.105333,0.10243,0.084449,-0.000288,-0.006667
12490,19311130,113.5,133.25,120,305,-0.016393,638,-0.016393,-0.088402,-0.094908,-0.088216,-0.09059,-0.097816,0.002097,-0.013423
12490,19311231,101.75,121,104.25,394,-0.074687,704,-0.087812,-0.134971,-0.143493,-0.187239,-0.193058,-0.145263,-0.000929,-0.006803
12490,19320130,95.25,107.625,99.5,348,-0.045564,704,-0.045564,-0.010534,-0.012963,0.08592,0.08354,-0.028325,0.000523,-0.020548
12490,19320229,92,108.625,101.875,475,0.023869,704,0.023869,0.057663,0.05059,0.022732,0.020419,0.050697,0.00093,-0.013986
12490,19320331,96,115,96,340,-0.042945,704,-0.057669,-0.110599,-0.117978,-0.119564,-0.12382,-0.118215,0.001706,-0.007092
12490,19320430,78.375,93.625,80,640,-0.166667,704,-0.166667,-0.179417,-0.182032,-0.181056,-0.185078,-0.202462,0.002487,-0.007143
12490,19320531,67,83,67,456,-0.1625,704,-0.1625,-0.206198,-0.212804,-0.202303,-0.205554,-0.233276,0.001033,-0.014388
12490,19320630,61.5,73.75,62.25,350,-0.048507,704,-0.070896,-0.004289,-0.015854,0.041277,0.034993,-0.008949,0.000271,-0.007299
12490,19320730,54.5,74.75,74.75,619,0.200803,704,0.200803,0.340643,0.338162,0.433499,0.431223,0.376975,0.000292,0
12490,19320831,75,106.75,101,588,0.351171,704,0.351171,0.371386,0.365312,0.665936,0.664173,0.37541,0.000411,-0.007353
12490,19320930,94.25,105.625,102,232,0.024752,704,0.009901,-0.028649,-0.034609,-0.059442,-0.062659,-0.036949,0.000483,-0.007407
12490,19321031,84.5,102,88.5,170,-0.132353,704,-0.132353,-0.132553,-0.134024,-0.164792,-0.165994,-0.138614,0.000213,-0.007463
12490,19321130,79.875,99.5,79.875,259,-0.097458,704,-0.097458,-0.05826,-0.063512,-0.073874,-0.076152,-0.058908,0.000224,-0.007519
12490,19321231,79,91,-90,422,0.14554,704,0.126761,0.045227,0.036537,-0.036622,-0.040521,0.051908,0.000108,-0.007576
12490,19330131,89,97.375,91.875,142,0.020833,704,0.020833,0.009813,0.007889,0.035883,0.034374,0.007257,0.000108,-0.015267
12490,19330228,76.25,90.5,76.5,165,-0.167347,704,-0.167347,-0.153204,-0.158071,-0.155443,-0.158012,-0.184438,-0.000615,-0.015504
12490,19330331,76.75,95,,132,,704,,0.033105,0.02503,0.100121,0.096611,0.033569,-0.000024,-0.007874
12490,19330429,85.5,111,111,228,0.470588,704,0.45098,0.394143,0.392133,0.518249,0.517056,0.422222,0.00299,0
12490,19330531,110.5,123.5,120,254,0.081081,704,0.081081,0.213261,0.209702,0.605986,0.604946,0.158654,0.000765,0
12490,19330630,122,136,135,244,0.1375,704,0.125,0.133364,0.128762,0.22643,0.224251,0.131743,0.000377,0.007937
12490,19330731,133,152.75,139,174,0.02963,704,0.02963,-0.096341,-0.097262,-0.092417,-0.093121,-0.087993,0.000175,0.031496
12490,19330831,140.25,151.25,-147.5,56,0.061151,704,0.061151,0.121285,0.118881,0.114552,0.113708,0.114573,0.000509,0.007634
12490,19330930,132,152,132,89,-0.094915,704,-0.105085,-0.105836,-0.109931,-0.150009,-0.152052,-0.113616,0.000229,0
12490,19331031,125.75,140.75,129.875,101,-0.016098,704,-0.016098,-0.08365,-0.085047,-0.107887,-0.10895,-0.088505,-0.000112,0
12490,19331129,130.25,148.5,-146,71,0.124158,704,0.124158,0.099896,0.094806,0.065094,0.063624,0.102679,0.000006,0
12490,19331230,140,147.75,142.75,95,-0.011986,704,-0.02226,0.017876,0.013525,0.017242,0.01467,0.022267,0.000241,0
12490,19340131,140,148.875,147,85,0.029772,704,0.029772,0.126779,0.125078,0.315546,0.313854,0.105941,0.000907,0
12490,19340228,-142.5,147,144,72,-0.020408,704,-0.020408,-0.024287,-0.027694,0.010863,0.009607,-0.036705,0.001052,0.007576
12490,19340331,132,144,133,42,-0.065972,704,-0.076389,0.004425,0.000179,0.008062,0.005912,-0.000929,0.000532,0
12490,19340430,133,145,143,32,0.075188,704,0.075188,-0.018345,-0.019743,0.000264,-0.000965,-0.026977,0.000062,0
12490,19340531,-133.5,-143.9375,-133.5,39,-0.066434,704,-0.066434,-0.072273,-0.075352,-0.10724,-0.108454,-0.081262,0.000065,0
12490,19340630,131,143.25,-139.625,57,0.057116,704,0.04588,0.025344,0.020823,0.003578,0.00119,0.020812,0.000063,0.007519
12490,19340731,131.25,141.5,-133.5,46,-0.043868,704,-0.043868,-0.109366,-0.111132,-0.186303,-0.187828,-0.115189,0.000065,0
12490,19340831,132,139,-137.5,34,0.029963,704,0.029963,0.057043,0.051711,0.098561,0.096893,0.054147,0.000065,0
12490,19340929,-136.5,141,141,42,0.036364,704,0.025455,-0.002362,-0.006753,-0.011748,-0.014256,-0.005464,0.000044,0.014925
12490,19341031,-138.75,141,-139,110,-0.014184,704,-0.014184,-0.018895,-0.020333,-0.01923,-0.020665,-0.031868,0.00015,-0.007353
12490,19341130,139.5,154.5,154.5,124,0.111511,704,0.111511,0.082095,0.077484,0.128705,0.126622,0.08286,0.000104,0
12490,19341231,151,162,152.5,112,0.016505,704,0.006796,0.003554,-0.001824,0.014735,0.01175,-0.004193,0.000188,-0.007407
12490,19350131,150,153.5,-151.5,80,-0.006557,704,-0.006557,-0.033416,-0.035249,-0.029663,-0.03146,-0.042105,-0.000067,0.014925
12490,19350228,151.625,161.5,159,42,0.049505,704,0.049505,-0.019462,-0.023779,-0.056016,-0.057481,-0.03956,0.000242,0.007353
12490,19350330,152.25,161,-159.125,57,0.01022,704,0.000786,-0.036013,-0.041139,-0.073353,-0.076034,-0.030892,0.000125,0
12490,19350430,157.5,175.125,-174,118,0.09348,704,0.09348,0.090452,0.088987,0.101628,0.100268,0.095632,0.000129,0.007299
12490,19350531,172,184.5,-172.5,92,-0.008621,704,-0.008621,0.034561,0.030658,0.024401,0.022682,0.032328,0.000129,0
12490,19350629,168,182.875,177,76,0.034783,704,0.026087,0.057796,0.053032,0.040189,0.037347,0.06785,0.000121,-0.007246
12490,19350731,177,184.875,183,44,0.033898,704,0.033898,0.07416,0.072613,0.110382,0.108876,0.083089,0.000133,0
12490,19350831,-178,184,-181.75,38,-0.006831,704,-0.006831,0.026773,0.022979,0.083084,0.081624,0.021661,0.000129,0
12490,19350930,177,186.5,-177.75,67,-0.013755,704,-0.022008,0.026074,0.021727,0.023798,0.021209,0.023852,0.000125,0
12490,19351031,175,182.5,180.25,95,0.014065,704,0.014065,0.069439,0.06792,0.082776,0.081343,0.075065,0.000167,0
12490,19351130,178.5,182.5,182.5,68,0.012483,704,0.012483,0.052872,0.047898,0.145782,0.143711,0.039326,0.000256,0.007299
12490,19351231,176.5,190.5,-178.375,71,0.014938,739,0.006719,0.046926,0.042495,0.060243,0.056845,0.037066,0.000129,0
12490,19360131,176.5,184,182.75,57,0.024527,739,0.024527,0.069559,0.067749,0.150165,0.148546,0.065525,0.000129,0
12490,19360229,173,184,174,91,-0.04788,739,-0.04788,0.025402,0.02223,0.045619,0.044111,0.016771,0.000161,0
12490,19360331,-174.5,185,178.5,75,0.034483,739,0.025862,0.008253,0.004881,0.005947,0.003495,0.02543,0.000172,-0.007246
12490,19360430,160,184.75,162,66,-0.092437,739,-0.092437,-0.081481,-0.082646,-0.122963,-0.124096,-0.077078,0.000167,0
12490,19360529,-161.625,169.5,-166,37,0.024691,739,0.024691,0.052043,0.047488,0.051218,0.049288,0.045752,0.000161,0
12490,19360630,-165,177,172,23,0.045181,739,0.036145,0.024671,0.020754,-0.000325,-0.003384,0.030556,0.000306,0.007299
12490,19360731,162,171.25,164.25,51,-0.045058,739,-0.045058,0.065954,0.064326,0.08193,0.080306,0.068059,0.000129,0.007246
12490,19360831,160,173.5,168,53,0.022831,739,0.022831,0.01095,0.006605,0.021447,0.019465,0.008833,0.000145,0.007194
12490,19360930,166.75,174.5,-170.5625,40,0.024182,739,0.015253,0.011899,0.007962,0.032668,0.029277,0.001251,0.000098,0
12490,19361031,164,173,171,39,0.002565,739,0.002565,0.069986,0.068469,0.063755,0.061893,0.074953,0.000289,0
12490,19361130,170.5,190.5,190.5,120,0.114035,739,0.114035,0.032854,0.024019,0.091427,0.085922,0.004067,0.000083,0
12490,19361231,-186.5,194,-188.75,36,-0.001312,739,-0.009186,0.002796,-0.003385,0.027306,0.01974,-0.005787,0.000018,0
12490,19370130,180,189,-180.375,45,-0.044371,739,-0.044371,0.033258,0.031836,0.076221,0.074297,0.037835,0.000126,0.007143
12490,19370227,-175.75,182,177.5,42,-0.015939,739,-0.015939,0.013114,0.010212,0.023904,0.02203,0.014582,0.000171,0
12490,19370331,-158,185,159.875,63,-0.045387,776,-0.054261,-0.002732,-0.006259,0.001065,-0.002213,-0.009397,-0.000167,0.007092
12490,19370430,157,166.125,-162.5,40,0.016419,776,0.016419,-0.075416,-0.076577,-0.101024,-0.10236,-0.083147,0.000501,0.007042
12490,19370528,150,160,151,49,-0.070769,776,-0.070769,-0.007054,-0.011904,-0.024524,-0.027333,-0.010347,0.000892,0.006993
12490,19370630,146.5,-152,150,46,0.003311,776,-0.006623,-0.041748,-0.046272,-0.076702,-0.080679,-0.052891,0.0006,0
12490,19370731,151,-161.5625,-160.5,53,0.07,776,0.07,0.089725,0.088116,0.099611,0.09771,0.102597,0.000385,0.006944
12490,19370831,150,162,150,30,-0.065421,776,-0.065421,-0.048365,-0.052758,-0.052749,-0.055246,-0.055359,0.000149,0
12490,19370930,137,-151.5,146.25,53,-0.015,776,-0.025,-0.136623,-0.141279,-0.193182,-0.197458,-0.142145,0.00072,0.006897
12490,19371030,134,147,143,83,-0.022222,776,-0.022222,-0.095798,-0.097368,-0.101549,-0.103964,-0.101744,0.000258,0
12490,19371130,127.5,-144,132,53,-0.076923,776,-0.076923,-0.083053,-0.095202,-0.108639,-0.115294,-0.101133,0.000482,-0.006849
12490,19371231,130,-138.75,-136.75,42,0.047348,814,0.035985,-0.040774,-0.050004,-0.099215,-0.10968,-0.050405,0.000316,-0.006897
12490,19380131,-136.5,154.75,146.5,40,0.071298,814,0.071298,0.006776,0.005111,0.04206,0.039577,0.01327,0.000151,-0.013889
12490,19380228,147,-154.5,-153.5,30,0.047782,814,0.047782,0.058013,0.053921,0.061061,0.058386,0.060804,0.000206,-0.007042
12490,19380331,130,-154.75,130,57,-0.100489,855,-0.110749,-0.238416,-0.243128,-0.285564,-0.28893,-0.250441,0.000026,0
12490,19380430,132.25,146,139,48,0.069231,855,0.069231,0.145963,0.14406,0.2062,0.204505,0.141176,0.000192,0.007092
12490,19380531,-139.5,-146.25,-141.5,31,0.017986,855,0.017986,-0.039053,-0.043677,-0.070462,-0.072747,-0.04433,0.000095,-0.007042
12490,19380630,142,153.5,153.5,84,0.095406,855,0.084806,0.237914,0.232474,0.306353,0.302445,0.247033,0.000009,0
12490,19380730,152.5,163.5,163.5,86,0.065147,855,0.065147,0.072097,0.070628,0.121836,0.120493,0.072664,-0.000062,0
12490,19380831,-158,168,-162.5,47,-0.006116,855,-0.006116,-0.027139,-0.030484,-0.063787,-0.065783,-0.027419,0.000052,0
12490,19380930,146,163,163,42,0.012308,855,0.003077,0.008912,0.004989,-0.014633,-0.017224,0.014925,0.000184,0
12490,19381031,-163,176,-174.5,55,0.070552,855,0.070552,0.078927,0.077477,0.144539,0.142929,0.07598,0.000112,-0.007092
12490,19381130,175,179.5,176,66,0.008596,855,0.008596,-0.018206,-0.023255,-0.03653,-0.039373,-0.033409,-0.00062,0
12490,19381231,175.875,185,185,115,0.059659,855,0.051136,0.041919,0.036519,0.033472,0.028476,0.037706,0.000091,0
12490,19390131,173,184.75,177.625,32,-0.039865,855,-0.039865,-0.060381,-0.061611,-0.075729,-0.07717,-0.068887,-0.000049,0
12490,19390228,-175.5,184.25,184.25,26,0.037298,855,0.037298,0.035255,0.031195,0.041384,0.039453,0.03252,0.00009,-0.007143
12490,19390331,168,195.75,168,54,-0.034057,898,-0.042605,-0.120727,-0.124673,-0.173763,-0.176537,-0.135433,-0.000093,0
12490,19390429,155,170,-165.5,51,-0.014881,898,-0.014881,-0.001932,-0.003436,0.002429,0.000931,-0.005464,-0.000038,-0.007194
12490,19390531,165,178.25,-177.125,35,0.070242,898,0.070242,0.068971,0.064244,0.086137,0.083827,0.062271,0.000091,0
12490,19390630,175,186,175,51,-0.003529,898,-0.011997,-0.053626,-0.058185,-0.083303,-0.086788,-0.063793,0.000013,0
12490,19390731,173.5,187.875,187,31,0.068571,898,0.068571,0.102243,0.100681,0.135497,0.1339,0.108656,0.000005,0
12490,19390831,-169.5,-188.8125,-169.5,41,-0.093583,898,-0.093583,-0.067264,-0.071789,-0.106495,-0.10885,-0.071429,0.000022,0
12490,19390930,145,171.5,165.5,69,-0.014749,898,-0.023599,0.161815,0.15731,0.391878,0.388019,0.16458,0.000064,0.021739
12490,19391031,-163.75,180,180,54,0.087613,898,0.087613,-0.004191,-0.005407,-0.006939,-0.008539,-0.014593,0.000022,-0.007092
12490,19391130,-173,180,180,34,0,898,0,-0.037131,-0.045817,-0.081311,-0.086065,-0.049104,0.000021,0
12490,19391230,178,185.75,185.625,45,0.039583,898,0.03125,0.029686,0.022795,0.017811,0.009667,0.02377,0.000025,0
12490,19400131,-178.5,-189.75,-180.25,36,-0.028956,898,-0.028956,-0.024215,-0.025613,-0.019978,-0.021673,-0.035228,0.000018,-0.007143
12490,19400229,180.25,-191,189.5,16,0.051318,898,0.051318,0.014758,0.009782,0.029733,0.026825,0.006639,0,0.007194
12490,19400330,177.25,191.5,177.75,26,-0.006794,943,-0.015106,0.018643,0.014604,0.026168,0.022739,0.009893,0.000086,0
12490,19400430,174,180,-175.375,51,-0.013361,943,-0.013361,0.000837,-0.00093,0.013115,0.011262,-0.004898,0.000009,0
12490,19400531,140,176.5,147,96,-0.161796,943,-0.161796,-0.221112,-0.227036,-0.269754,-0.273009,-0.239541,-0.000098,0
12490,19400629,136,146.25,-138.5,52,-0.047619,943,-0.057823,0.066856,0.061117,0.06655,0.061369,0.076591,0.000049,0.007143
12490,19400731,138,145,142,25,0.025271,943,0.025271,0.031923,0.030031,0.036805,0.034369,0.031062,0.000129,-0.007092
12490,19400831,-138.75,-143.75,142.75,23,0.005282,943,0.005282,0.024296,0.017631,0.023221,0.019674,0.026239,-0.000061,0
12490,19400930,144.5,157.5,-154.75,38,0.094571,943,0.084063,0.023118,0.018192,0.037207,0.032861,0.00947,0.000017,0
12490,19401031,153,158,157.5,37,0.017771,943,0.017771,0.030143,0.028254,0.049218,0.046817,0.0394,0.000017,0
12490,19401130,153,164,158.5,39,0.006349,943,0.006349,-0.016752,-0.026882,-0.001669,-0.008123,-0.042419,0.000017,0
12490,19401231,155.75,163.5,159.75,33,0.01735,943,0.007886,0.006586,-0.001261,-0.018789,-0.028767,-0.002828,0.000009,0.007143
12490,19410131,152.25,167.5,152.25,31,0.000704,990,0.000704,-0.041227,-0.042853,-0.007317,-0.009706,-0.048204,-0.000069,0
12490,19410228,146.5,150.5,150,40,-0.014778,990,-0.014778,-0.013801,-0.019944,-0.019409,-0.023309,-0.014896,-0.000092,0
12490,19410331,150,-154.0625,-153.5625,27,0.03375,990,0.02375,0.009515,0.00386,0.014308,0.008994,0.004032,-0.009308,0.007092
12490,19410430,141,-154,141,29,-0.081807,990,-0.081807,-0.054018,-0.055862,-0.057382,-0.060012,-0.065261,-0.000079,0.007042
12490,19410531,140,-150.375,-150.375,21,0.066489,990,0.066489,0.01314,0.005156,0.010105,0.00524,0.004296,0.000043,0.006993
12490,19410630,150,155,-154.125,30,0.034913,990,0.024938,0.058495,0.051569,0.066908,0.060085,0.053476,0.000075,0.020833
12490,19410731,153.5,160,-158.125,31,0.025953,990,0.025953,0.059543,0.057281,0.130139,0.1273,0.054822,0.002262,0
12490,19410830,-156.5,158,-157,13,-0.007115,990,-0.007115,-0.001156,-0.007953,-0.00718,-0.011135,-0.008662,0.000067,0.013605
12490,19410930,156.75,165,-159.5,21,0.025478,990,0.015924,-0.007611,-0.012758,-0.020448,-0.025845,-0.009709,0.00011,0.013423
12490,19411031,-152.25,162,154.5,17,-0.031348,990,-0.031348,-0.052926,-0.0553,-0.06203,-0.065131,-0.068627,0.000026,0.013245
12490,19411129,151.5,157.5,155,33,0.003236,990,0.003236,-0.020271,-0.032685,-0.034209,-0.042825,-0.042105,-0.000044,0.006536
12490,19411231,147,157.125,151,79,-0.016129,990,-0.025806,-0.046692,-0.056609,-0.081886,-0.095862,-0.045055,0.000222,0.006494
12490,19420131,127,151.5,-127.75,52,-0.111672,1040,-0.111672,0.008979,0.007175,0.130814,0.128005,0.013809,0.00045,0.012903
12490,19420228,-117,129.5,123,28,-0.037182,1040,-0.037182,-0.023651,-0.02997,-0.017579,-0.022259,-0.024972,0.000239,0.006369
12490,19420331,110.5,125.25,117,29,-0.036585,1040,-0.04878,-0.065144,-0.071734,-0.05224,-0.059033,-0.06752,0.000252,0.012658
12490,19420430,115,125,116,30,-0.008547,1040,-0.008547,-0.043583,-0.045992,-0.04626,-0.049354,-0.043695,0.000188,0.00625
12490,19420529,116,123,-120.5625,22,0.039332,1040,0.039332,0.060174,0.052393,0.028879,0.023538,0.063969,0.000347,0.012422
12490,19420630,117.375,132,-131.75,42,0.105236,1040,0.092794,0.025772,0.018226,0.025086,0.017775,0.018405,0.000407,0
12490,19420731,132,145,135.5,39,0.028463,1040,0.028463,0.035326,0.032815,0.046405,0.043428,0.031325,0.00034,0.006135
12490,19420831,134,139,-138,20,0.01845,1040,0.01845,0.018408,0.01192,0.028304,0.023479,0.007009,0.000353,0.006098
12490,19420930,-134.5,139,-137,12,0.003623,1040,-0.007246,0.027069,0.021072,0.047557,0.041597,0.026682,0.000306,0
12490,19421031,-137.5,-142,-139.75,26,0.020073,1040,0.020073,0.069088,0.067053,0.101294,0.098736,0.064407,0.000367,0.012121
12490,19421130,-139.75,151,148,27,0.059034,1040,0.059034,0.001177,-0.009144,-0.013177,-0.022646,-0.0138,0.000383,0.005988
12490,19421231,-145,-150.1875,149.5,48,0.02027,1040,0.010135,0.05129,0.042483,0.035554,0.022995,0.051668,0.000314,0.005952
12490,19430130,144.5,-153.75,-153.75,27,0.079849,1092,0.079849,0.073382,0.071869,0.168551,0.166473,0.071648,0.000325,0
